Id_aluno,Selecionado,Sexo,OrientacaoSexual,Idade,Raça-cor,Deficiência
1715,Sim,M,Heterossexual,23,Parda,TEA – Transtorno Espectro do Autismo
4403,Sim,F,Heterossexual,24,Branca,Não possuo
1185,Sim,M,Heterossexual,29,Branca,Não possuo
3737,Sim,M,Heterossexual,22,Preta,Não possuo
1218,Sim,M,Heterossexual,25,Parda,Não possuo
11370,Sim,M,Heterossexual,19,Branca,Não possuo
5116,Não,F,Bissexual,23,Branca,Não possuo
5953,Sim,F,Heterossexual,21,Preta,Não possuo
7397,Sim,F,Heterossexual,21,Preta,Não possuo
3054,Sim,M,Heterossexual,29,Branca,Não possuo
14995,Sim,F,Heterossexual,24,Branca,Não possuo
8537,Sim,F,Bissexual,22,Parda,Não possuo
7919,Sim,M,Homossexual,21,Parda,Não possuo
669,Não,F,Bissexual,19,Parda,Não possuo
10333,Sim,M,Heterossexual,21,Preta,Não possuo
1705,Sim,M,Homossexual,23,Parda,Não possuo
16754,Sim,F,Heterossexual,20,Branca,Não possuo
16742,Sim,M,Heterossexual,20,Preta,Não possuo
3380,Não,F,Prefiro não responder,22,Branca,Não possuo
4407,Não,M,Heterossexual,20,Branca,Não possuo
6093,Não,F,Heterossexual,20,Branca,Não possuo
13216,Sim,F,Heterossexual,18,Parda,Não possuo
7970,Sim,M,Heterossexual,20,Parda,Não possuo
9752,Não,F,Bissexual,20,Branca,Não possuo
2867,Não,F,Bissexual,21,Branca,Não possuo
12475,Sim,F,Pansexual,18,Parda,Não possuo
11898,Sim,F,Homossexual,21,Branca,Não possuo
3446,Não,F,Prefiro não responder,24,Branca,Não possuo
983,Não,M,Heterossexual,18,Parda,Não possuo
11982,Sim,M,Heterossexual,22,Parda,Não possuo
2678,Sim,M,Homossexual,24,Branca,Não possuo
2739,Não,F,Bissexual,20,Branca,Não possuo
5818,Não,F,Heterossexual,22,Parda,Não possuo
8985,Sim,M,Heterossexual,19,Branca,Não possuo
4248,Não,F,Heterossexual,21,Branca,Não possuo
1983,Sim,F,Heterossexual,27,Branca,Não possuo
10342,Sim,F,Heterossexual,21,Parda,Não possuo
7501,Sim,M,Homossexual,20,Branca,Não possuo
11750,Não,F,Prefiro não responder,26,Branca,Não possuo
2959,Não,F,Bissexual,19,Parda,Não possuo
227,Não,M,Homossexual,23,Parda,Não possuo
7993,Sim,F,Heterossexual,20,Branca,Não possuo
12103,Sim,M,Heterossexual,19,Branca,Não possuo
6956,Sim,M,Heterossexual,20,Branca,Não possuo
9738,Sim,F,Prefiro não responder,19,Parda,Não possuo
8620,Sim,F,Heterossexual,28,Parda,Não possuo
5297,Sim,F,Bissexual,22,Parda,Não possuo
11417,Sim,M,Bissexual,18,Preta,Não possuo
6069,Não,M,Heterossexual,24,Parda,Não possuo
6598,Sim,F,Heterossexual,21,Parda,Não possuo
11590,Sim,F,Heterossexual,18,Branca,Não possuo
4252,Sim,M,Bissexual,25,Branca,Não possuo
2597,Não,M,Heterossexual,20,Não informada,Não possuo
9561,Sim,F,Bissexual,19,Branca,Não possuo
12333,Sim,M,Heterossexual,18,Parda,Não possuo
214,Não,M,Homossexual,28,Parda,Não possuo
7764,Não,F,Heterossexual,21,Branca,Não possuo
13442,Sim,F,Pansexual,26,Parda,Não possuo
1339,Sim,M,Homossexual,22,Branca,Não possuo
5710,Não,M,Heterossexual,20,Branca,Não possuo
13390,Sim,F,Heterossexual,19,Amarela,Não possuo
775,Sim,F,Heterossexual,27,Branca,Não possuo
9243,Sim,F,Heterossexual,20,Branca,Não possuo
4767,Não,F,Bissexual,19,Branca,Não possuo
2285,Sim,M,Heterossexual,20,Branca,Não possuo
4064,Sim,M,Heterossexual,21,Preta,Não possuo
8165,Não,F,Heterossexual,23,Branca,Não possuo
5985,Sim,F,Heterossexual,23,Branca,Não possuo
10598,Não,F,Bissexual,20,Branca,Não possuo
4892,Sim,M,Bissexual,22,Parda,Não possuo
11917,Sim,F,Heterossexual,18,Parda,Não possuo
6104,Sim,F,Bissexual,23,Branca,Não possuo
10192,Sim,M,Heterossexual,18,Parda,Não possuo
11098,Sim,M,Heterossexual,19,Branca,Não possuo
10822,Não,M,Bissexual,21,Branca,Não possuo
2242,Não,M,Heterossexual,18,Parda,Não possuo
12847,Sim,F,Heterossexual,18,Parda,Não possuo
5277,Não,M,Heterossexual,19,Branca,Não possuo
6588,Sim,F,Heterossexual,22,Parda,Não possuo
7032,Não,M,Heterossexual,21,Branca,Não possuo
11457,Sim,M,Heterossexual,18,Branca,Não possuo
1366,Não,F,Homossexual,19,Branca,Não possuo
28,Não,M,Homossexual,25,Preta,Não possuo
10291,Não,M,Heterossexual,22,Branca,Não possuo
3261,Não,F,Bissexual,19,Branca,Não possuo
12490,Não,F,Prefiro não responder,22,Branca,Não possuo
5685,Não,M,Heterossexual,20,Branca,Não possuo
2708,Sim,F,Heterossexual,25,Branca,Não possuo
4051,Não,F,Heterossexual,20,Branca,Não possuo
3774,Sim,F,Outro,23,Branca,Não possuo
11172,Não,M,Heterossexual,19,Branca,Não possuo
7599,Sim,M,Heterossexual,20,Parda,Não possuo
6430,Sim,M,Heterossexual,21,Não informada,Não possuo
12735,Sim,F,Heterossexual,18,Parda,Não possuo
11927,Não,F,Bissexual,20,Branca,Não possuo
9719,Sim,F,Bissexual,20,Branca,Não possuo
13896,Sim,M,Pansexual,30,Parda,Não possuo
536,Sim,M,Heterossexual,28,Branca,Não possuo
6826,Sim,M,Heterossexual,20,Parda,Não possuo
12553,Sim,M,Heterossexual,19,Parda,Não possuo
9705,Sim,F,Prefiro não responder,25,Branca,Não possuo
7096,Sim,F,Heterossexual,20,Parda,Não possuo
11685,Não,F,Heterossexual,22,Branca,Não possuo
12708,Sim,M,Heterossexual,21,Branca,Não possuo
793,Sim,F,Heterossexual,26,Branca,Não possuo
2803,Não,M,Homossexual,26,Branca,Não possuo
7551,Não,F,Homossexual,20,Branca,Não possuo
1080,Não,F,Heterossexual,24,Branca,Não possuo
4392,Sim,M,Heterossexual,22,Branca,Não possuo
12546,Sim,F,Bissexual,21,Parda,Não possuo
2669,Sim,F,Bissexual,22,Parda,Não possuo
7569,Sim,F,Heterossexual,21,Branca,Não possuo
8953,Não,M,Heterossexual,21,Branca,Deficiência Visual
8259,Não,M,Heterossexual,23,Branca,Não possuo
9581,Sim,F,Pansexual,22,Parda,Não possuo
10476,Sim,M,Bissexual,20,Preta,Não possuo
2,Sim,F,Heterossexual,18,Preta,Não possuo
660,Sim,F,Heterossexual,28,Parda,Não possuo
8387,Não,M,Heterossexual,28,Branca,Não possuo
5544,Sim,F,Heterossexual,27,Branca,Não possuo
5308,Não,M,Heterossexual,25,Branca,Não possuo
7915,Sim,F,Heterossexual,20,Parda,Não possuo
844,Sim,M,Heterossexual,23,Parda,Não possuo
7044,Não,M,Heterossexual,18,Branca,Não possuo
3190,Sim,M,Bissexual,23,Branca,Não possuo
9322,Sim,F,Homossexual,20,Branca,Não possuo
11083,Sim,F,Bissexual,18,Parda,Não possuo
1413,Sim,M,Prefiro não responder,27,Não informada,Não possuo
13071,Sim,F,Heterossexual,22,Branca,Não possuo
2211,Sim,M,Heterossexual,24,Branca,Não possuo
253,Não,M,Heterossexual,28,Branca,Não possuo
6818,Não,M,Bissexual,25,Branca,Não possuo
12034,Sim,F,Prefiro não responder,18,Branca,Não possuo
7084,Sim,F,Heterossexual,20,Branca,Não possuo
18133,Sim,M,Heterossexual,19,Branca,Não possuo
62,Não,F,Heterossexual,26,Branca,Não possuo
3615,Não,M,Heterossexual,22,Branca,Não possuo
245,Sim,M,Heterossexual,24,Branca,Não possuo
12893,Sim,M,Heterossexual,22,Parda,Não possuo
44,Não,M,Heterossexual,28,Parda,TEA – Transtorno Espectro do Autismo
11971,Sim,M,Bissexual,23,Branca,Não possuo
8967,Sim,F,Bissexual,20,Branca,Não possuo
10637,Sim,M,Heterossexual,18,Branca,Não possuo
1651,Sim,M,Heterossexual,23,Preta,Não possuo
3231,Sim,F,Heterossexual,22,Amarela,Não possuo
2013,Não,F,Heterossexual,18,Parda,Não possuo
10563,Sim,F,Heterossexual,18,Parda,Não possuo
11423,Sim,M,Heterossexual,20,Branca,Não possuo
3366,Sim,F,Bissexual,22,Branca,Não possuo
5138,Sim,F,Heterossexual,29,Branca,Não possuo
4751,Não,F,Heterossexual,21,Amarela,Não possuo
12284,Não,F,Heterossexual,24,Branca,Não possuo
3088,Sim,F,Heterossexual,23,Branca,Não possuo
1693,Sim,M,Heterossexual,23,Preta,Não possuo
8059,Não,M,Heterossexual,18,Branca,Não possuo
6733,Sim,M,Heterossexual,23,Preta,Não possuo
10961,Sim,M,Homossexual,26,Branca,Não possuo
1377,Sim,F,Heterossexual,25,Não informada,Não possuo
369,Não,M,Heterossexual,43,Preta,Não possuo
4655,Sim,F,Heterossexual,41,Branca,Não possuo
7681,Não,F,Prefiro não responder,20,Branca,Não possuo
1959,Não,F,Prefiro não responder,20,Branca,Não possuo
4347,Não,F,Bissexual,25,Preta,Não possuo
2259,Sim,M,Heterossexual,25,Branca,Não possuo
11517,Sim,F,Bissexual,19,Parda,Outro
8834,Sim,M,Heterossexual,19,Preta,Não possuo
11456,Sim,M,Heterossexual,18,Branca,Não possuo
11330,Não,F,Heterossexual,19,Branca,Não possuo
5899,Não,M,Heterossexual,19,Branca,Não possuo
1947,Sim,F,Homossexual,23,Preta,Não possuo
2614,Sim,F,Bissexual,23,Parda,Não possuo
4721,Não,F,Heterossexual,18,Parda,Outro
316,Sim,M,Homossexual,28,Branca,Não possuo
719,Sim,F,Bissexual,25,Branca,Não possuo
690,Sim,M,Homossexual,29,Parda,Não possuo
3485,Não,F,Homossexual,24,Branca,Não possuo
12097,Não,M,Heterossexual,38,Branca,Não possuo
4399,Sim,F,Heterossexual,30,Parda,Não possuo
9518,Sim,F,Heterossexual,31,Parda,Não possuo
5354,Não,F,Heterossexual,22,Parda,Não possuo
6232,Não,M,Heterossexual,33,Preta,Não possuo
13628,Sim,M,Heterossexual,28,Parda,Não possuo
714,Sim,F,Heterossexual,25,Não informada,Não possuo
12541,Não,F,Bissexual,20,Parda,Não possuo
10547,Não,M,Heterossexual,20,Não informada,Não possuo
11550,Sim,M,Heterossexual,19,Branca,Não possuo
8385,Sim,M,Heterossexual,25,Branca,Não possuo
12776,Sim,F,Heterossexual,37,Parda,Não possuo
11312,Não,M,Heterossexual,24,Branca,Não possuo
7776,Sim,F,Heterossexual,19,Branca,Não possuo
11228,Sim,M,Heterossexual,17,Parda,Não possuo
7387,Não,M,Heterossexual,23,Branca,Não possuo
6325,Não,F,Heterossexual,22,Branca,Não possuo
9130,Sim,F,Heterossexual,27,Branca,Não possuo
3021,Não,F,Heterossexual,19,Parda,Não possuo
3520,Não,M,Pansexual,35,Branca,TEA – Transtorno Espectro do Autismo
6379,Não,F,Bissexual,24,Branca,Outro
10128,Sim,F,Heterossexual,19,Branca,Não possuo
4947,Sim,M,Heterossexual,20,Branca,Não possuo
154,Não,F,Heterossexual,36,Branca,Não possuo
2345,Não,F,Homossexual,18,Branca,Não possuo
2557,Não,M,Heterossexual,26,Branca,Não possuo
4597,Sim,F,Bissexual,23,Parda,Não possuo
5668,Sim,F,Bissexual,22,Branca,Não possuo
5736,Sim,M,Heterossexual,20,Branca,Não possuo
6237,Sim,F,Heterossexual,20,Parda,Não possuo
12931,Não,F,Heterossexual,19,Branca,Não possuo
1583,Não,M,Heterossexual,22,Preta,Não possuo
5748,Sim,M,Heterossexual,21,Branca,Não possuo
10812,Não,F,Heterossexual,22,Branca,Não possuo
605,Sim,M,Heterossexual,24,Branca,Não possuo
700,Não,F,Heterossexual,20,Branca,Não possuo
4568,Não,F,Heterossexual,22,Branca,Não possuo
2770,Sim,F,Heterossexual,22,Parda,Deficiência Física
2530,Não,F,Prefiro não responder,19,Branca,Não possuo
10049,Sim,F,Heterossexual,19,Branca,Não possuo
4920,Não,F,Heterossexual,22,Parda,Não possuo
6132,Sim,F,Heterossexual,20,Branca,Não possuo
6701,Sim,F,Heterossexual,20,Branca,Não possuo
9321,Não,F,Heterossexual,24,Branca,Não possuo
2196,Sim,M,Homossexual,28,Parda,Não possuo
4987,Sim,M,Heterossexual,22,Preta,Não possuo
1944,Sim,F,Heterossexual,25,Parda,Não possuo
8101,Não,F,Heterossexual,21,Branca,Não possuo
13192,Sim,F,Heterossexual,18,Preta,Outro
4057,Sim,M,Heterossexual,21,Branca,Não possuo
817,Sim,M,Bissexual,25,Branca,Não possuo
5235,Sim,M,Heterossexual,24,Não informada,Não possuo
3042,Sim,M,Bissexual,23,Branca,Não possuo
8871,Não,M,Heterossexual,22,Branca,Não possuo
13148,Sim,F,Heterossexual,19,Preta,Não possuo
1200,Não,M,Heterossexual,19,Branca,Não possuo
5142,Sim,F,Heterossexual,20,Parda,Não possuo
6841,Sim,M,Heterossexual,21,Parda,Não possuo
5588,Não,M,Heterossexual,18,Branca,Não possuo
5084,Não,F,Bissexual,28,Parda,Não possuo
7037,Não,F,Heterossexual,20,Branca,Não possuo
1836,Não,F,Prefiro não responder,31,Amarela,Não possuo
1679,Não,M,Heterossexual,20,Branca,Não possuo
9568,Sim,F,Bissexual,24,Parda,Não possuo
8154,Não,F,Homossexual,23,Branca,Não possuo
8032,Sim,F,Heterossexual,21,Branca,Não possuo
5729,Não,M,Homossexual,27,Branca,Não possuo
5841,Não,M,Bissexual,19,Branca,Não possuo
2105,Sim,M,Heterossexual,23,Parda,Não possuo
